rank,name,score,field
1,Henry Corrigan-Gibbs,21,Mixed
2,Sebastian Angel,21,Mixed
3,Taesoo Kim,20,Mixed
4,Lingxiao Ma,20,Mixed
5,Yinzhi Cao,19,Mixed
6,Yan Shoshitaishvili,19,Mixed
7,Andreas Kogler,18,Mixed
8,Emma Dauterman,18,Mixed
9,Marcel Busch,18,Mixed
10,Sisi Duan,18,Mixed
11,Lukas Maar,17,Mixed
12,Aishwarya Ganesan,17,Mixed
13,Ramnatthan Alagappan,17,Mixed
14,Zhihao Jia,17,Mixed
15,Adam J. Aviv,16,Mixed
16,Athina Markopoulou,16,Mixed
17,Nick Nikiforakis,16,Mixed
18,Marius Muench,16,Mixed
19,Robert Merget,16,Mixed
20,Tiffany Bao,16,Mixed
21,Surya Nepal,15,Mixed
22,Hyoungshick Kim,15,Mixed
23,Asaf Cidon,15,Mixed
24,Wen Xia,15,Mixed
25,Marcel Maehren,15,Mixed
26,Pengfei Zuo,15,Mixed
27,Philipp Mao,15,Mixed
28,Yubin Xia,15,Mixed
29,Hongxin Hu,14,Mixed
30,Thang Hoang,14,Mixed
31,Tobias Scharnowski,14,Mixed
32,Xingliang Yuan,14,Mixed
33,Chris Hawblitzel,14,Mixed
34,Jilong Xue,14,Mixed
35,Xiaojing Liao,14,Mixed
36,Haixin Duan,13,Mixed
37,Micah Sherr,13,Mixed
38,Binyu Zang,13,Mixed
39,Changwoo Min,13,Mixed
40,Emmett Witchel,13,Mixed
41,Flavio Toffalini,13,Mixed
42,Haibing Guan,13,Mixed
43,Heming Cui,13,Mixed
44,Luyi Xing,13,Mixed
45,Tej Chajed,13,Mixed
46,Zhenhua Han,13,Mixed
47,Bo-Yin Yang,12,Mixed
48,Baris Kasikci,12,Mixed
49,Brendan Saltaformaggio,12,Mixed
50,Anwar Hithnawi,12,Mixed
